search_keyword,search_cnt,click_cnt,click_rate,is_typo,corrected_keyword,description,category,confidence,suggestion_synonym_mapping,suggestion_synonym_url,suggestion_related_artist_id,suggestion_related_artist_url,suggestion_related_artist_title,suggestion_related_song_id,suggestion_related_song_url,suggestion_related_song_title,suggestion_theme_keywords
왜내가창피해,110,0,0,false,,"SNS에서 회자되는 ""왜 내가 창피해"" 유사 유행 문구 및 ""창피해""라는 제목의 곡들이 존재하지만, 이 정확한 문구와 일치하는 특정 노래나 출처는 확인되지 않았다.",밈/트렌드,low,,,,,,,,,"유행어 밈, 부끄러움 챌린지, SNS 유행 문구, 감성 자막 문구"
ヤラララ,109,0,0,false,,"보컬 신디사이저 캐릭터 카사네 테토가 부른 곡 ""ヤラララ(야라라라)""로, 발매 후 유튜브에서 역대급 속도로 조회수가 급증하며 화제가 된 실제 음원이다.",음원,high,,,,,,,,,"보컬로이드, UTAU 신스보이스, 일본 버추얼 보컬, 바이럴 인터넷 음악"
에이아이돌,104,0,0,false,,"LG전자가 AI 세탁건조기 홍보를 위해 기획한 가상의 5인조 아이돌 그룹 ""에이아이돌(AI-DOL)""로, 타이틀곡 ""아이워시""를 발표했다.",아티스트,medium,,,,,,,,,"가상 아이돌, AI 버추얼그룹, 브랜드 콜라보 음악, 광고송"
세드레인,104,0,0,true,새드레인 (Sad Rain) - 성리,"오디션 프로그램 우승 특전곡으로 가수 성리가 발매한 신곡 ""Sad Rain(새드레인)""의 오타/발음 혼동 표기로 추정된다.",음원,medium,,,,,,,,,
하나님이 예비하신 사람,104,2,0.0192,false,,"특정 곡이나 앨범 제목이 아니라, ""하나님이 예비하신 사람(배우자)""이라는 설교·간증에서 흔히 쓰이는 일반적인 기독교 문구로 확인된다.",지식,medium,,,,,,,,,"기독교 설교 문구, CCM 워십, 간증 메시지, 힐링 신앙 콘텐츠"
인생은서툰,103,1,0.0097,true,인생은 서툰 여행이래 (HELLOPING),"아티스트 HELLOPING의 싱글 ""인생은 서툰 여행이래""의 앞부분만 입력하고 띄어쓰기와 뒷부분이 생략된 형태로 확인된다.",음원,high,,,,,,,,,
룰루레몬,103,5,0.0485,false,,"원래는 요가복 브랜드 룰루레몬을 가리키지만, 쇼미더머니12 참가자 트레이비가 가사에 사용하며 화제가 된 인터넷 밈으로도 통용된다(해당 곡의 실제 제목은 ""LLLM"").",밈/트렌드,medium,,,3199511,https://www.melon.com/artist/timeline.htm?artistId=3199511,Tray B,,,,
보넷도,101,0,0,true,"보넥도 (보이넥스트도어, BOYNEXTDOOR)","보이그룹 보이넥스트도어의 팬덤 줄임말 ""보넥도""를 자음 하나 다르게 입력한 오타로 추정된다.",아티스트,high,,,,,,,,,
s0rrow,101,0,0,false,,"Spotify, Apple Music 등에 등록된 실제 인디/베드룸 팝 아티스트로, ""o""를 ""0""으로 바꾼 스타일링된 이름이며 오타가 아니다.",아티스트,high,대표어: 'sorrow' / 동의어: 's0rrow',https://www.melon.com/artist/timeline.htm?artistId=3203009,,,,,,,
무엇이든 해낼당신에게,101,0,0,false,,"작가 남상훈이 쓴 에세이 ""무엇이든 해낼 당신에게""의 제목으로, 지치고 힘든 이들을 위로하는 내용의 책이다. 음악과 관련된 검색 결과는 발견되지 않았다.",지식,medium,,,,,,,,,"힐링 에세이, 위로 메시지, 감성 내레이션, 자기계발 콘텐츠"
아이릿,100,3,0.03,true,아일릿 (ILLIT),벨리프랩 소속 걸그룹 ILLIT(아일릿)의 명칭을 음절 하나 빠뜨려 입력한 오타로 보인다.,아티스트,high,,,,,,,,,
